Test Name,MyISAM Total Time,MyISAM Start Transfer Time,,InnoDB Total Time,InnoDB Start Transfer Time
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Year-cs,0.055071,0.055068,,0.058259,0.058256
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Year-pi,0.065404,0.065401,,0.0652,0.065197
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Year-public,0.059876,0.059874,,0.064945,0.064942
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Year-usr,0.063216,0.063213,,0.065546,0.065543
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Day-cd,0.073904,0.073899,,0.068635,0.068632
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Day-cs,0.070655,0.070651,,0.067597,0.067593
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Day-pi,0.078915,0.07891,,0.07713,0.077126
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Day-public,0.076725,0.07672,,0.071108,0.071104
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Day-usr,0.077177,0.077172,,0.075288,0.075285
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Month-cd,0.066081,0.066076,,0.065541,0.065538
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Month-cs,0.061055,0.061051,,0.06732,0.067316
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Month-pi,0.07114,0.071119,,0.073953,0.073949
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Month-public,0.067086,0.067081,,0.065801,0.065797
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Month-usr,0.070898,0.070895,,0.070217,0.070214
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Quarter-cd,0.069498,0.069493,,0.065489,0.065486
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Quarter-cs,0.061711,0.061707,,0.065706,0.065702
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Quarter-pi,0.070009,0.070005,,0.072732,0.072727
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Quarter-public,0.065615,0.06561,,0.066336,0.066332
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Quarter-usr,0.069775,0.069771,,0.072159,0.072156
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Year-cd,0.067817,0.067813,,0.064999,0.064997
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Year-cs,0.063203,0.063199,,0.067093,0.067089
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Year-pi,0.074774,0.074769,,0.073363,0.073359
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Year-public,0.068226,0.068222,,0.066096,0.066092
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Year-usr,0.072629,0.072624,,0.071473,0.071469
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Day-cd,0.064671,0.064667,,0.055559,0.055556
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Day-cs,0.059424,0.059421,,0.061449,0.061446
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Day-pi,0.06962,0.069616,,0.061336,0.061332
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Day-public,0.065209,0.065205,,0.065116,0.065112
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Day-usr,0.063511,0.063507,,0.063573,0.063569
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Month-cd,0.059197,0.059193,,0.054572,0.054569
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Month-cs,0.055721,0.055719,,0.059697,0.059694
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Month-pi,0.062757,0.062716,,0.06187,0.061867
