Test Name,MyISAM Total Time,MyISAM Start Transfer Time,,InnoDB Total Time,InnoDB Start Transfer Time
Cloud/project/cloud_core_utilization/timeseries-Month-cs,0.063655,0.063651,,0.061637,0.061633
Cloud/project/cloud_core_utilization/timeseries-Month-pi,0.069775,0.069772,,0.07229,0.072285
Cloud/project/cloud_core_utilization/timeseries-Month-public,0.063209,0.06319,,0.069453,0.06945
Cloud/project/cloud_core_utilization/timeseries-Month-usr,0.067907,0.067884,,0.068026,0.068022
Cloud/project/cloud_core_utilization/timeseries-Quarter-cd,0.068224,0.068219,,0.06579,0.065787
Cloud/project/cloud_core_utilization/timeseries-Quarter-cs,0.064096,0.064093,,0.063224,0.06322
Cloud/project/cloud_core_utilization/timeseries-Quarter-pi,0.071108,0.071103,,0.071214,0.071209
Cloud/project/cloud_core_utilization/timeseries-Quarter-public,0.064762,0.064757,,0.070506,0.070503
Cloud/project/cloud_core_utilization/timeseries-Quarter-usr,0.068618,0.068613,,0.069104,0.069101
Cloud/project/cloud_core_utilization/timeseries-Year-cd,0.069261,0.069257,,0.066124,0.06612
Cloud/project/cloud_core_utilization/timeseries-Year-cs,0.065159,0.065156,,0.063487,0.063484
Cloud/project/cloud_core_utilization/timeseries-Year-pi,0.078575,0.078571,,0.072375,0.072369
Cloud/project/cloud_core_utilization/timeseries-Year-public,0.067163,0.06716,,0.070539,0.070526
Cloud/project/cloud_core_utilization/timeseries-Year-usr,0.069573,0.069569,,0.069033,0.069029
Cloud/project/cloud_num_sessions_ended/aggregate-Day-cd,0.073072,0.073068,,0.062978,0.062968
Cloud/project/cloud_num_sessions_ended/aggregate-Day-cs,0.072526,0.072521,,0.061491,0.061482
Cloud/project/cloud_num_sessions_ended/aggregate-Day-pi,0.078904,0.078901,,0.067024,0.067016
Cloud/project/cloud_num_sessions_ended/aggregate-Day-public,0.070241,0.070238,,0.061123,0.06112
Cloud/project/cloud_num_sessions_ended/aggregate-Day-usr,0.07547,0.075468,,0.07132,0.071317
Cloud/project/cloud_num_sessions_ended/aggregate-Month-cd,0.062583,0.06258,,0.060425,0.060421
Cloud/project/cloud_num_sessions_ended/aggregate-Month-cs,0.057607,0.057602,,0.057796,0.057793
Cloud/project/cloud_num_sessions_ended/aggregate-Month-pi,0.066541,0.066538,,0.062639,0.062637
Cloud/project/cloud_num_sessions_ended/aggregate-Month-public,0.061036,0.061032,,0.06243,0.062427
Cloud/project/cloud_num_sessions_ended/aggregate-Month-usr,0.064629,0.064626,,0.06654,0.066537
Cloud/project/cloud_num_sessions_ended/aggregate-Quarter-cd,0.05769,0.057686,,0.059116,0.059113
Cloud/project/cloud_num_sessions_ended/aggregate-Quarter-cs,0.059542,0.059538,,0.057683,0.05768
Cloud/project/cloud_num_sessions_ended/aggregate-Quarter-pi,0.067057,0.067053,,0.062075,0.062073
Cloud/project/cloud_num_sessions_ended/aggregate-Quarter-public,0.059915,0.059911,,0.062075,0.062071
Cloud/project/cloud_num_sessions_ended/aggregate-Quarter-usr,0.061258,0.061256,,0.065498,0.065496
Cloud/project/cloud_num_sessions_ended/aggregate-Year-cd,0.058334,0.05833,,0.059824,0.059821
Cloud/project/cloud_num_sessions_ended/aggregate-Year-cs,0.061318,0.061315,,0.058638,0.058635
Cloud/project/cloud_num_sessions_ended/aggregate-Year-pi,0.066702,0.066699,,0.061769,0.061763
Cloud/project/cloud_num_sessions_ended/aggregate-Year-public,0.061482,0.061479,,0.064441,0.064434
Cloud/project/cloud_num_sessions_ended/aggregate-Year-usr,0.061612,0.06161,,0.060058,0.060055
Cloud/project/cloud_num_sessions_ended/timeseries-Day-cd,0.075245,0.075242,,0.067612,0.06761
Cloud/project/cloud_num_sessions_ended/timeseries-Day-cs,0.072938,0.072912,,0.063371,0.063368
Cloud/project/cloud_num_sessions_ended/timeseries-Day-pi,0.081937,0.081925,,0.070732,0.070704
Cloud/project/cloud_num_sessions_ended/timeseries-Day-public,0.075469,0.075465,,0.068857,0.068853
Cloud/project/cloud_num_sessions_ended/timeseries-Day-usr,0.080612,0.080607,,0.073505,0.073503
Cloud/project/cloud_num_sessions_ended/timeseries-Month-cd,0.077534,0.07753,,0.078677,0.078673
Cloud/project/cloud_num_sessions_ended/timeseries-Month-cs,0.074032,0.074029,,0.074567,0.074564
Cloud/project/cloud_num_sessions_ended/timeseries-Month-pi,0.083122,0.083118,,0.086823,0.086819
Cloud/project/cloud_num_sessions_ended/timeseries-Month-public,0.064606,0.064602,,0.06521,0.065203
Cloud/project/cloud_num_sessions_ended/timeseries-Month-usr,0.080161,0.080156,,0.08126,0.081257
Cloud/project/cloud_num_sessions_ended/timeseries-Quarter-cd,0.069941,0.069938,,0.065947,0.065944
Cloud/project/cloud_num_sessions_ended/timeseries-Quarter-cs,0.063738,0.063734,,0.061963,0.061959
Cloud/project/cloud_num_sessions_ended/timeseries-Quarter-pi,0.071685,0.071682,,0.07311,0.073106
Cloud/project/cloud_num_sessions_ended/timeseries-Quarter-public,0.0813,0.081296,,0.079739,0.079734
Cloud/project/cloud_num_sessions_ended/timeseries-Quarter-usr,0.075206,0.075202,,0.068137,0.068135
Cloud/project/cloud_num_sessions_ended/timeseries-Year-cd,0.07066,0.070657,,0.067772,0.067763
Cloud/project/cloud_num_sessions_ended/timeseries-Year-cs,0.065817,0.065813,,0.060897,0.060893
Cloud/project/cloud_num_sessions_ended/timeseries-Year-pi,0.073896,0.073893,,0.076288,0.076285
Cloud/project/cloud_num_sessions_ended/timeseries-Year-public,0.069809,0.069804,,0.06534,0.065335
Cloud/project/cloud_num_sessions_ended/timeseries-Year-usr,0.075726,0.075721,,0.068899,0.06889
Cloud/project/cloud_num_sessions_running/aggregate-Day-cd,0.069621,0.069617,,0.060129,0.060125
Cloud/project/cloud_num_sessions_running/aggregate-Day-cs,0.065583,0.06558,,0.06118,0.061169
Cloud/project/cloud_num_sessions_running/aggregate-Day-pi,0.073573,0.07357,,0.059805,0.059802
Cloud/project/cloud_num_sessions_running/aggregate-Day-public,0.064287,0.064283,,0.06281,0.062806
Cloud/project/cloud_num_sessions_running/aggregate-Day-usr,0.067682,0.067678,,0.058198,0.058196
Cloud/project/cloud_num_sessions_running/aggregate-Month-cd,0.062984,0.062979,,0.059464,0.059461
Cloud/project/cloud_num_sessions_running/aggregate-Month-cs,0.056966,0.056959,,0.058361,0.058358
Cloud/project/cloud_num_sessions_running/aggregate-Month-pi,0.063708,0.063706,,0.058017,0.058015
Cloud/project/cloud_num_sessions_running/aggregate-Month-public,0.054999,0.054995,,0.060414,0.06039
Cloud/project/cloud_num_sessions_running/aggregate-Month-usr,0.058812,0.058809,,0.056999,0.056996
Cloud/project/cloud_num_sessions_running/aggregate-Quarter-cd,0.061214,0.06121,,0.059031,0.059027
Cloud/project/cloud_num_sessions_running/aggregate-Quarter-cs,0.056772,0.056764,,0.059405,0.059401
Cloud/project/cloud_num_sessions_running/aggregate-Quarter-pi,0.065508,0.065505,,0.059213,0.05921
Cloud/project/cloud_num_sessions_running/aggregate-Quarter-public,0.055935,0.055931,,0.059995,0.059992
Cloud/project/cloud_num_sessions_running/aggregate-Quarter-usr,0.058657,0.058654,,0.057007,0.057003
Cloud/project/cloud_num_sessions_running/aggregate-Year-cd,0.064871,0.06485,,0.059057,0.059053
Cloud/project/cloud_num_sessions_running/aggregate-Year-cs,0.059866,0.05986,,0.06025,0.060247
Cloud/project/cloud_num_sessions_running/aggregate-Year-pi,0.067578,0.067574,,0.058567,0.058561
Cloud/project/cloud_num_sessions_running/aggregate-Year-public,0.057833,0.057829,,0.060491,0.060487
Cloud/project/cloud_num_sessions_running/aggregate-Year-usr,0.059804,0.059799,,0.057946,0.057943
Cloud/project/cloud_num_sessions_running/timeseries-Day-cd,0.075,0.074995,,0.070321,0.070318
Cloud/project/cloud_num_sessions_running/timeseries-Day-cs,0.07362,0.073616,,0.070413,0.070393
Cloud/project/cloud_num_sessions_running/timeseries-Day-pi,0.080546,0.080544,,0.070706,0.070702
Cloud/project/cloud_num_sessions_running/timeseries-Day-public,0.075809,0.075804,,0.068685,0.068681
Cloud/project/cloud_num_sessions_running/timeseries-Day-usr,0.081837,0.081833,,0.070265,0.070247
Cloud/project/cloud_num_sessions_running/timeseries-Month-cd,0.065289,0.065285,,0.067636,0.067633
Cloud/project/cloud_num_sessions_running/timeseries-Month-cs,0.063771,0.063764,,0.064662,0.064658
Cloud/project/cloud_num_sessions_running/timeseries-Month-pi,0.069993,0.069989,,0.066541,0.066538
Cloud/project/cloud_num_sessions_running/timeseries-Month-public,0.063574,0.063569,,0.066757,0.06675
Cloud/project/cloud_num_sessions_running/timeseries-Month-usr,0.070059,0.070051,,0.067066,0.067062
Cloud/project/cloud_num_sessions_running/timeseries-Quarter-cd,0.065293,0.065289,,0.067021,0.067018
Cloud/project/cloud_num_sessions_running/timeseries-Quarter-cs,0.062297,0.062292,,0.062862,0.062858
Cloud/project/cloud_num_sessions_running/timeseries-Quarter-pi,0.071809,0.071806,,0.066289,0.066285
Cloud/project/cloud_num_sessions_running/timeseries-Quarter-public,0.064714,0.064706,,0.067466,0.067462
Cloud/project/cloud_num_sessions_running/timeseries-Quarter-usr,0.071427,0.071422,,0.067957,0.067953
Cloud/project/cloud_num_sessions_running/timeseries-Year-cd,0.067682,0.067678,,0.066671,0.066667
Cloud/project/cloud_num_sessions_running/timeseries-Year-cs,0.065635,0.065615,,0.061891,0.061879
Cloud/project/cloud_num_sessions_running/timeseries-Year-pi,0.072455,0.072452,,0.066648,0.066631
Cloud/project/cloud_num_sessions_running/timeseries-Year-public,0.064471,0.064466,,0.066548,0.066538
Cloud/project/cloud_num_sessions_running/timeseries-Year-usr,0.073297,0.073285,,0.066821,0.066818
Cloud/project/cloud_num_sessions_started/aggregate-Day-cd,0.068274,0.068271,,0.060973,0.060962
Cloud/project/cloud_num_sessions_started/aggregate-Day-cs,0.06674,0.066736,,0.062634,0.062628
Cloud/project/cloud_num_sessions_started/aggregate-Day-pi,0.077228,0.077224,,0.063095,0.063087
Cloud/project/cloud_num_sessions_started/aggregate-Day-public,0.065868,0.065865,,0.060954,0.060951
Cloud/project/cloud_num_sessions_started/aggregate-Day-usr,0.070212,0.070209,,0.068457,0.068454
Cloud/project/cloud_num_sessions_started/aggregate-Month-cd,0.058889,0.058886,,0.061468,0.061465
Cloud/project/cloud_num_sessions_started/aggregate-Month-cs,0.058216,0.058212,,0.061094,0.06109
Cloud/project/cloud_num_sessions_started/aggregate-Month-pi,0.067156,0.067152,,0.06135,0.061347
Cloud/project/cloud_num_sessions_started/aggregate-Month-public,0.058512,0.058505,,0.058236,0.058231
Cloud/project/cloud_num_sessions_started/aggregate-Month-usr,0.064139,0.064135,,0.065056,0.065052
Cloud/project/cloud_num_sessions_started/aggregate-Quarter-cd,0.060269,0.060266,,0.060812,0.06081
Cloud/project/cloud_num_sessions_started/aggregate-Quarter-cs,0.057769,0.057764,,0.06253,0.062526
Cloud/project/cloud_num_sessions_started/aggregate-Quarter-pi,0.069106,0.069102,,0.062018,0.062015
Cloud/project/cloud_num_sessions_started/aggregate-Quarter-public,0.058563,0.058559,,0.05968,0.059676
Cloud/project/cloud_num_sessions_started/aggregate-Quarter-usr,0.06428,0.064276,,0.065483,0.06545
Cloud/project/cloud_num_sessions_started/aggregate-Year-cd,0.061919,0.061915,,0.058978,0.058975
Cloud/project/cloud_num_sessions_started/aggregate-Year-cs,0.061859,0.061851,,0.060827,0.060824
Cloud/project/cloud_num_sessions_started/aggregate-Year-pi,0.071368,0.071364,,0.063093,0.06309
Cloud/project/cloud_num_sessions_started/aggregate-Year-public,0.061712,0.061709,,0.061232,0.061227
Cloud/project/cloud_num_sessions_started/aggregate-Year-usr,0.066044,0.066037,,0.066148,0.066144
Cloud/project/cloud_num_sessions_started/timeseries-Day-cd,0.076748,0.076745,,0.065095,0.065091
Cloud/project/cloud_num_sessions_started/timeseries-Day-cs,0.072209,0.072198,,0.06629,0.066269
Cloud/project/cloud_num_sessions_started/timeseries-Day-pi,0.08227,0.082267,,0.073585,0.07358
Cloud/project/cloud_num_sessions_started/timeseries-Day-public,0.076393,0.076381,,0.069116,0.069111
Cloud/project/cloud_num_sessions_started/timeseries-Day-usr,0.075325,0.075321,,0.06905,0.069027
Cloud/project/cloud_num_sessions_started/timeseries-Month-cd,0.066186,0.066183,,0.059888,0.059884
Cloud/project/cloud_num_sessions_started/timeseries-Month-cs,0.06267,0.062666,,0.067884,0.067881
Cloud/project/cloud_num_sessions_started/timeseries-Month-pi,0.070644,0.07064,,0.068201,0.068198
Cloud/project/cloud_num_sessions_started/timeseries-Month-public,0.065593,0.065588,,0.065796,0.06579
Cloud/project/cloud_num_sessions_started/timeseries-Month-usr,0.065096,0.065091,,0.065439,0.065436
Cloud/project/cloud_num_sessions_started/timeseries-Quarter-cd,0.065853,0.06585,,0.060722,0.060717
Cloud/project/cloud_num_sessions_started/timeseries-Quarter-cs,0.064719,0.0647,,0.068671,0.068667
Cloud/project/cloud_num_sessions_started/timeseries-Quarter-pi,0.071627,0.071617,,0.066407,0.066403
Cloud/project/cloud_num_sessions_started/timeseries-Quarter-public,0.067374,0.067369,,0.068231,0.068227
Cloud/project/cloud_num_sessions_started/timeseries-Quarter-usr,0.066363,0.066359,,0.065963,0.06596
Cloud/project/cloud_num_sessions_started/timeseries-Year-cd,0.069449,0.069445,,0.060754,0.06075
Cloud/project/cloud_num_sessions_started/timeseries-Year-cs,0.064749,0.064744,,0.071609,0.071606
Cloud/project/cloud_num_sessions_started/timeseries-Year-pi,0.071485,0.071481,,0.067117,0.06711
Cloud/project/cloud_num_sessions_started/timeseries-Year-public,0.068796,0.068788,,0.066027,0.066024
Cloud/project/cloud_num_sessions_started/timeseries-Year-usr,0.068877,0.068872,,0.065956,0.065953
Cloud/project/cloud_wall_time/aggregate-Day-cd,0.065084,0.065081,,0.061384,0.061375
Cloud/project/cloud_wall_time/aggregate-Day-cs,0.067962,0.067958,,0.0602,0.060197
Cloud/project/cloud_wall_time/aggregate-Day-pi,0.074971,0.074967,,0.068046,0.068042
Cloud/project/cloud_wall_time/aggregate-Day-public,0.067748,0.067744,,0.056282,0.056278
Cloud/project/cloud_wall_time/aggregate-Day-usr,0.073553,0.073549,,0.062449,0.062438
Cloud/project/cloud_wall_time/aggregate-Month-cd,0.057485,0.057482,,0.060613,0.06061
Cloud/project/cloud_wall_time/aggregate-Month-cs,0.058787,0.058783,,0.058998,0.058994
Cloud/project/cloud_wall_time/aggregate-Month-pi,0.069182,0.069178,,0.065869,0.065866
Cloud/project/cloud_wall_time/aggregate-Month-public,0.060926,0.060921,,0.053578,0.053575
Cloud/project/cloud_wall_time/aggregate-Month-usr,0.06453,0.064526,,0.061192,0.061189
Cloud/project/cloud_wall_time/aggregate-Quarter-cd,0.057889,0.057864,,0.060661,0.060658
Cloud/project/cloud_wall_time/aggregate-Quarter-cs,0.059008,0.059004,,0.057742,0.057739
Cloud/project/cloud_wall_time/aggregate-Quarter-pi,0.067172,0.067167,,0.06793,0.067924
Cloud/project/cloud_wall_time/aggregate-Quarter-public,0.065693,0.065689,,0.054021,0.054018
Cloud/project/cloud_wall_time/aggregate-Quarter-usr,0.064358,0.064354,,0.06122,0.061218
Cloud/project/cloud_wall_time/aggregate-Year-cd,0.061063,0.061056,,0.062527,0.062525
Cloud/project/cloud_wall_time/aggregate-Year-cs,0.061991,0.061983,,0.058625,0.058604
Cloud/project/cloud_wall_time/aggregate-Year-pi,0.071229,0.071225,,0.066262,0.066256
Cloud/project/cloud_wall_time/aggregate-Year-public,0.068059,0.068055,,0.05575,0.055747
Cloud/project/cloud_wall_time/aggregate-Year-usr,0.067066,0.067063,,0.062585,0.062582
Cloud/project/cloud_wall_time/timeseries-Day-cd,0.070383,0.07038,,0.068659,0.068655
Cloud/project/cloud_wall_time/timeseries-Day-cs,0.074954,0.07494,,0.067973,0.067969
Cloud/project/cloud_wall_time/timeseries-Day-pi,0.08338,0.08336,,0.07555,0.075525
Cloud/project/cloud_wall_time/timeseries-Day-public,0.080531,0.08052,,0.06875,0.068743
Cloud/project/cloud_wall_time/timeseries-Day-usr,0.082286,0.082262,,0.069114,0.069094
Cloud/project/cloud_wall_time/timeseries-Month-cd,0.060426,0.060423,,0.064033,0.064029
Cloud/project/cloud_wall_time/timeseries-Month-cs,0.067043,0.067039,,0.063569,0.06355
Cloud/project/cloud_wall_time/timeseries-Month-pi,0.073554,0.07355,,0.071496,0.071491
Cloud/project/cloud_wall_time/timeseries-Month-public,0.070611,0.070607,,0.065205,0.065201
Cloud/project/cloud_wall_time/timeseries-Month-usr,0.071473,0.071469,,0.065448,0.065445
Cloud/project/cloud_wall_time/timeseries-Quarter-cd,0.06087,0.060866,,0.065112,0.065109
Cloud/project/cloud_wall_time/timeseries-Quarter-cs,0.066004,0.065999,,0.065454,0.065449
Cloud/project/cloud_wall_time/timeseries-Quarter-pi,0.075902,0.075899,,0.0724,0.072395
Cloud/project/cloud_wall_time/timeseries-Quarter-public,0.070188,0.070185,,0.065852,0.065848
Cloud/project/cloud_wall_time/timeseries-Quarter-usr,0.071813,0.071808,,0.065303,0.0653
Cloud/project/cloud_wall_time/timeseries-Year-cd,0.061961,0.061957,,0.066656,0.066653
Cloud/project/cloud_wall_time/timeseries-Year-cs,0.067491,0.067487,,0.066884,0.06688
Cloud/project/cloud_wall_time/timeseries-Year-pi,0.079997,0.079994,,0.072843,0.072838
Cloud/project/cloud_wall_time/timeseries-Year-public,0.071893,0.071882,,0.067737,0.067734
Cloud/project/cloud_wall_time/timeseries-Year-usr,0.073759,0.073755,,0.066982,0.066979
Cloud/provider/cloud_avg_cores_reserved/aggregate-Day-cd,0.057822,0.057818,,0.058569,0.058566
Cloud/provider/cloud_avg_cores_reserved/aggregate-Day-cs,0.057307,0.057304,,0.052449,0.052446
Cloud/provider/cloud_avg_cores_reserved/aggregate-Day-pi,0.069191,0.069187,,0.064938,0.064935
Cloud/provider/cloud_avg_cores_reserved/aggregate-Day-public,0.061806,0.0618,,0.059163,0.059159
Cloud/provider/cloud_avg_cores_reserved/aggregate-Day-usr,0.066961,0.066957,,0.069622,0.069619
Cloud/provider/cloud_avg_cores_reserved/aggregate-Month-cd,0.053048,0.053026,,0.059539,0.059536
Cloud/provider/cloud_avg_cores_reserved/aggregate-Month-cs,0.05294,0.052936,,0.053059,0.053057
Cloud/provider/cloud_avg_cores_reserved/aggregate-Month-pi,0.06488,0.064875,,0.065163,0.065159
Cloud/provider/cloud_avg_cores_reserved/aggregate-Month-public,0.059192,0.059186,,0.059047,0.05904
Cloud/provider/cloud_avg_cores_reserved/aggregate-Month-usr,0.063103,0.063098,,0.068153,0.068134
Cloud/provider/cloud_avg_cores_reserved/aggregate-Quarter-cd,0.055679,0.055674,,0.059107,0.059104
Cloud/provider/cloud_avg_cores_reserved/aggregate-Quarter-cs,0.054194,0.054191,,0.052921,0.052919
Cloud/provider/cloud_avg_cores_reserved/aggregate-Quarter-pi,0.065141,0.065136,,0.065373,0.06537
Cloud/provider/cloud_avg_cores_reserved/aggregate-Quarter-public,0.058793,0.05879,,0.057994,0.057991
Cloud/provider/cloud_avg_cores_reserved/aggregate-Quarter-usr,0.060119,0.060115,,0.067413,0.06741
Cloud/provider/cloud_avg_cores_reserved/aggregate-Year-cd,0.054458,0.054454,,0.060341,0.060323
Cloud/provider/cloud_avg_cores_reserved/aggregate-Year-cs,0.053901,0.053897,,0.051832,0.051828
Cloud/provider/cloud_avg_cores_reserved/aggregate-Year-pi,0.065837,0.065831,,0.066162,0.066157
Cloud/provider/cloud_avg_cores_reserved/aggregate-Year-public,0.059152,0.05915,,0.061839,0.061836
Cloud/provider/cloud_avg_cores_reserved/aggregate-Year-usr,0.060447,0.060443,,0.062788,0.062785
Cloud/provider/cloud_avg_cores_reserved/timeseries-Day-cd,0.070723,0.070719,,0.066088,0.066085
Cloud/provider/cloud_avg_cores_reserved/timeseries-Day-cs,0.066639,0.066636,,0.065257,0.065253
Cloud/provider/cloud_avg_cores_reserved/timeseries-Day-pi,0.074123,0.074119,,0.074124,0.07412
Cloud/provider/cloud_avg_cores_reserved/timeseries-Day-public,0.068223,0.068218,,0.060895,0.060892
Cloud/provider/cloud_avg_cores_reserved/timeseries-Day-usr,0.065852,0.065848,,0.073287,0.073278
Cloud/provider/cloud_avg_cores_reserved/timeseries-Month-cd,0.066928,0.066923,,0.064906,0.064903
Cloud/provider/cloud_avg_cores_reserved/timeseries-Month-cs,0.062605,0.062602,,0.064012,0.064008
Cloud/provider/cloud_avg_cores_reserved/timeseries-Month-pi,0.070917,0.070913,,0.071495,0.07149
Cloud/provider/cloud_avg_cores_reserved/timeseries-Month-public,0.067246,0.067242,,0.061357,0.061336
Cloud/provider/cloud_avg_cores_reserved/timeseries-Month-usr,0.067531,0.067526,,0.073792,0.073786
Cloud/provider/cloud_avg_cores_reserved/timeseries-Quarter-cd,0.068295,0.068292,,0.064263,0.06426
Cloud/provider/cloud_avg_cores_reserved/timeseries-Quarter-cs,0.063702,0.063696,,0.062501,0.062498
Cloud/provider/cloud_avg_cores_reserved/timeseries-Quarter-pi,0.070203,0.070199,,0.068912,0.068907
Cloud/provider/cloud_avg_cores_reserved/timeseries-Quarter-public,0.067768,0.067765,,0.061285,0.061281
Cloud/provider/cloud_avg_cores_reserved/timeseries-Quarter-usr,0.070865,0.07086,,0.07305,0.073047
Cloud/provider/cloud_avg_cores_reserved/timeseries-Year-cd,0.067,0.066996,,0.064262,0.064258
Cloud/provider/cloud_avg_cores_reserved/timeseries-Year-cs,0.063503,0.063499,,0.066019,0.066015
Cloud/provider/cloud_avg_cores_reserved/timeseries-Year-pi,0.071714,0.071711,,0.070063,0.070059
Cloud/provider/cloud_avg_cores_reserved/timeseries-Year-public,0.065318,0.065314,,0.061549,0.061546
Cloud/provider/cloud_avg_cores_reserved/timeseries-Year-usr,0.069884,0.069881,,0.070931,0.070928
Cloud/provider/cloud_avg_memory_reserved/aggregate-Day-cd,0.061243,0.061238,,0.055672,0.055669
Cloud/provider/cloud_avg_memory_reserved/aggregate-Day-cs,0.05731,0.057307,,0.059357,0.059354
Cloud/provider/cloud_avg_memory_reserved/aggregate-Day-pi,0.069854,0.06985,,0.06626,0.066257
Cloud/provider/cloud_avg_memory_reserved/aggregate-Day-public,0.060103,0.0601,,0.058867,0.058864
Cloud/provider/cloud_avg_memory_reserved/aggregate-Day-usr,0.061355,0.061351,,0.064094,0.064084
Cloud/provider/cloud_avg_memory_reserved/aggregate-Month-cd,0.056913,0.056909,,0.055916,0.055912
Cloud/provider/cloud_avg_memory_reserved/aggregate-Month-cs,0.053578,0.053575,,0.057419,0.0574
Cloud/provider/cloud_avg_memory_reserved/aggregate-Month-pi,0.065839,0.065835,,0.066043,0.06604
Cloud/provider/cloud_avg_memory_reserved/aggregate-Month-public,0.056874,0.056871,,0.058548,0.058545
Cloud/provider/cloud_avg_memory_reserved/aggregate-Month-usr,0.05675,0.056746,,0.060095,0.060092
Cloud/provider/cloud_avg_memory_reserved/aggregate-Quarter-cd,0.057703,0.057698,,0.054611,0.054608
Cloud/provider/cloud_avg_memory_reserved/aggregate-Quarter-cs,0.054223,0.054219,,0.057347,0.057344
Cloud/provider/cloud_avg_memory_reserved/aggregate-Quarter-pi,0.066157,0.066151,,0.067322,0.06732
Cloud/provider/cloud_avg_memory_reserved/aggregate-Quarter-public,0.056326,0.056322,,0.058898,0.058895
Cloud/provider/cloud_avg_memory_reserved/aggregate-Quarter-usr,0.058086,0.058082,,0.063121,0.063118
Cloud/provider/cloud_avg_memory_reserved/aggregate-Year-cd,0.057095,0.057091,,0.054299,0.054296
Cloud/provider/cloud_avg_memory_reserved/aggregate-Year-cs,0.054719,0.054716,,0.058887,0.058884
Cloud/provider/cloud_avg_memory_reserved/aggregate-Year-pi,0.066529,0.066524,,0.064254,0.064249
Cloud/provider/cloud_avg_memory_reserved/aggregate-Year-public,0.057147,0.05714,,0.059208,0.059203
Cloud/provider/cloud_avg_memory_reserved/aggregate-Year-usr,0.058432,0.058427,,0.063056,0.063053
Cloud/provider/cloud_avg_memory_reserved/timeseries-Day-cd,0.071561,0.071541,,0.066764,0.066761
Cloud/provider/cloud_avg_memory_reserved/timeseries-Day-cs,0.067456,0.067452,,0.06682,0.066817
Cloud/provider/cloud_avg_memory_reserved/timeseries-Day-pi,0.074801,0.074798,,0.069199,0.069196
Cloud/provider/cloud_avg_memory_reserved/timeseries-Day-public,0.071777,0.071765,,0.062208,0.062205
Cloud/provider/cloud_avg_memory_reserved/timeseries-Day-usr,0.074258,0.074253,,0.065472,0.065469
Cloud/provider/cloud_avg_memory_reserved/timeseries-Month-cd,0.063705,0.063701,,0.066144,0.066142
Cloud/provider/cloud_avg_memory_reserved/timeseries-Month-cs,0.063928,0.063924,,0.066161,0.066151
Cloud/provider/cloud_avg_memory_reserved/timeseries-Month-pi,0.070602,0.070599,,0.070631,0.070628
Cloud/provider/cloud_avg_memory_reserved/timeseries-Month-public,0.067405,0.067401,,0.059874,0.059871
Cloud/provider/cloud_avg_memory_reserved/timeseries-Month-usr,0.069385,0.069381,,0.064545,0.064542
Cloud/provider/cloud_avg_memory_reserved/timeseries-Quarter-cd,0.063014,0.06301,,0.065001,0.064997
Cloud/provider/cloud_avg_memory_reserved/timeseries-Quarter-cs,0.061394,0.06139,,0.067119,0.067099
Cloud/provider/cloud_avg_memory_reserved/timeseries-Quarter-pi,0.070365,0.070362,,0.070905,0.0709
Cloud/provider/cloud_avg_memory_reserved/timeseries-Quarter-public,0.06723,0.067201,,0.060619,0.060592
Cloud/provider/cloud_avg_memory_reserved/timeseries-Quarter-usr,0.068534,0.068529,,0.065462,0.065442
Cloud/provider/cloud_avg_memory_reserved/timeseries-Year-cd,0.067618,0.067614,,0.064626,0.064623
Cloud/provider/cloud_avg_memory_reserved/timeseries-Year-cs,0.063722,0.063718,,0.066779,0.066775
Cloud/provider/cloud_avg_memory_reserved/timeseries-Year-pi,0.071339,0.071336,,0.07076,0.070756
Cloud/provider/cloud_avg_memory_reserved/timeseries-Year-public,0.067914,0.06791,,0.067898,0.067895
Cloud/provider/cloud_avg_memory_reserved/timeseries-Year-usr,0.071062,0.071058,,0.0649,0.064898
Cloud/provider/cloud_avg_rv_storage_reserved/aggregate-Day-cd,0.061972,0.061965,,0.058431,0.058421
Cloud/provider/cloud_avg_rv_storage_reserved/aggregate-Day-cs,0.05772,0.057717,,0.06333,0.063327
Cloud/provider/cloud_avg_rv_storage_reserved/aggregate-Day-pi,0.06724,0.067236,,0.061322,0.061319
Cloud/provider/cloud_avg_rv_storage_reserved/aggregate-Day-public,0.06246,0.062456,,0.058117,0.058113
Cloud/provider/cloud_avg_rv_storage_reserved/aggregate-Day-usr,0.068112,0.068107,,0.06397,0.063966
Cloud/provider/cloud_avg_rv_storage_reserved/aggregate-Month-cd,0.060203,0.060196,,0.057925,0.057922
Cloud/provider/cloud_avg_rv_storage_reserved/aggregate-Month-cs,0.05349,0.053487,,0.060643,0.060639
Cloud/provider/cloud_avg_rv_storage_reserved/aggregate-Month-pi,0.061743,0.061738,,0.060721,0.060712
Cloud/provider/cloud_avg_rv_storage_reserved/aggregate-Month-public,0.056209,0.056204,,0.056794,0.056791
Cloud/provider/cloud_avg_rv_storage_reserved/aggregate-Month-usr,0.063151,0.063147,,0.06301,0.063007
Cloud/provider/cloud_avg_rv_storage_reserved/aggregate-Quarter-cd,0.06063,0.060627,,0.057654,0.057647
Cloud/provider/cloud_avg_rv_storage_reserved/aggregate-Quarter-cs,0.054397,0.054395,,0.058638,0.058635
Cloud/provider/cloud_avg_rv_storage_reserved/aggregate-Quarter-pi,0.064952,0.064948,,0.059344,0.05934
