Test Name,Realm,Group By,Statistic,Data Set Type,Aggregation Unit,MyISAM Total Time,MyISAM Start Transfer Time,InnoDB Total Time,InnoDB Start Transfer Time
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Day-cd,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Day,0.0007%,0.0007%,0.0012%,0.0012%
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Day-cs,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Day,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Day-pi,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Day,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Day-public,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Day,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Day-usr,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Day,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Month-cd,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Month,0.0007%,0.0007%,0.0012%,0.0012%
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Month-cs,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Month,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Month-pi,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Month,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Month-public,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Month,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Month-usr,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Month,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Quarter-cd,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Quarter,0.0007%,0.0007%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Quarter-cs,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Quarter,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Quarter-pi,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Quarter,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Quarter-public,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Quarter,0.0007%,0.0007%,0.0012%,0.0012%
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Quarter-usr,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Quarter,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Year-cd,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Year,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Year-cs,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Year,0.0007%,0.0007%,0.0012%,0.0012%
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Year-pi,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Year,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Year-public,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Year,0.0007%,0.0007%,0.0012%,0.0012%
Cloud/configuration/cloud_avg_cores_reserved/aggregate-Year-usr,Cloud,configuration,cloud_avg_cores_reserved,aggregate,Year,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_cores_reserved/timeseries-Day-cd,Cloud,configuration,cloud_avg_cores_reserved,timeseries,Day,0.001%,0.001%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_cores_reserved/timeseries-Day-cs,Cloud,configuration,cloud_avg_cores_reserved,timeseries,Day,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_cores_reserved/timeseries-Day-pi,Cloud,configuration,cloud_avg_cores_reserved,timeseries,Day,0.001%,0.001%,0.0016%,0.0016%
Cloud/configuration/cloud_avg_cores_reserved/timeseries-Day-public,Cloud,configuration,cloud_avg_cores_reserved,timeseries,Day,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/configuration/cloud_avg_cores_reserved/timeseries-Day-usr,Cloud,configuration,cloud_avg_cores_reserved,timeseries,Day,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/configuration/cloud_avg_cores_reserved/timeseries-Month-cd,Cloud,configuration,cloud_avg_cores_reserved,timeseries,Month,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_cores_reserved/timeseries-Month-cs,Cloud,configuration,cloud_avg_cores_reserved,timeseries,Month,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_cores_reserved/timeseries-Month-pi,Cloud,configuration,cloud_avg_cores_reserved,timeseries,Month,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/configuration/cloud_avg_cores_reserved/timeseries-Month-public,Cloud,configuration,cloud_avg_cores_reserved,timeseries,Month,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_cores_reserved/timeseries-Month-usr,Cloud,configuration,cloud_avg_cores_reserved,timeseries,Month,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_cores_reserved/timeseries-Quarter-cd,Cloud,configuration,cloud_avg_cores_reserved,timeseries,Quarter,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_cores_reserved/timeseries-Quarter-cs,Cloud,configuration,cloud_avg_cores_reserved,timeseries,Quarter,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_cores_reserved/timeseries-Quarter-pi,Cloud,configuration,cloud_avg_cores_reserved,timeseries,Quarter,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/configuration/cloud_avg_cores_reserved/timeseries-Quarter-public,Cloud,configuration,cloud_avg_cores_reserved,timeseries,Quarter,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_cores_reserved/timeseries-Quarter-usr,Cloud,configuration,cloud_avg_cores_reserved,timeseries,Quarter,0.0008%,0.0008%,0.0016%,0.0016%
Cloud/configuration/cloud_avg_cores_reserved/timeseries-Year-cd,Cloud,configuration,cloud_avg_cores_reserved,timeseries,Year,0.0008%,0.0008%,0.0013%,0.0014%
Cloud/configuration/cloud_avg_cores_reserved/timeseries-Year-cs,Cloud,configuration,cloud_avg_cores_reserved,timeseries,Year,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_cores_reserved/timeseries-Year-pi,Cloud,configuration,cloud_avg_cores_reserved,timeseries,Year,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/configuration/cloud_avg_cores_reserved/timeseries-Year-public,Cloud,configuration,cloud_avg_cores_reserved,timeseries,Year,0.0008%,0.0008%,0.0014%,0.0015%
Cloud/configuration/cloud_avg_cores_reserved/timeseries-Year-usr,Cloud,configuration,cloud_avg_cores_reserved,timeseries,Year,0.0008%,0.0008%,0.0016%,0.0016%
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Day-cd,Cloud,configuration,cloud_avg_memory_reserved,aggregate,Day,0.0007%,0.0007%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Day-cs,Cloud,configuration,cloud_avg_memory_reserved,aggregate,Day,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Day-pi,Cloud,configuration,cloud_avg_memory_reserved,aggregate,Day,0.0009%,0.0009%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Day-public,Cloud,configuration,cloud_avg_memory_reserved,aggregate,Day,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Day-usr,Cloud,configuration,cloud_avg_memory_reserved,aggregate,Day,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Month-cd,Cloud,configuration,cloud_avg_memory_reserved,aggregate,Month,0.0007%,0.0007%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Month-cs,Cloud,configuration,cloud_avg_memory_reserved,aggregate,Month,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Month-pi,Cloud,configuration,cloud_avg_memory_reserved,aggregate,Month,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Month-public,Cloud,configuration,cloud_avg_memory_reserved,aggregate,Month,0.0007%,0.0007%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Month-usr,Cloud,configuration,cloud_avg_memory_reserved,aggregate,Month,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Quarter-cd,Cloud,configuration,cloud_avg_memory_reserved,aggregate,Quarter,0.0007%,0.0007%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Quarter-cs,Cloud,configuration,cloud_avg_memory_reserved,aggregate,Quarter,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Quarter-pi,Cloud,configuration,cloud_avg_memory_reserved,aggregate,Quarter,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Quarter-public,Cloud,configuration,cloud_avg_memory_reserved,aggregate,Quarter,0.0007%,0.0007%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Quarter-usr,Cloud,configuration,cloud_avg_memory_reserved,aggregate,Quarter,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Year-cd,Cloud,configuration,cloud_avg_memory_reserved,aggregate,Year,0.0007%,0.0007%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Year-cs,Cloud,configuration,cloud_avg_memory_reserved,aggregate,Year,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Year-pi,Cloud,configuration,cloud_avg_memory_reserved,aggregate,Year,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Year-public,Cloud,configuration,cloud_avg_memory_reserved,aggregate,Year,0.0007%,0.0007%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_memory_reserved/aggregate-Year-usr,Cloud,configuration,cloud_avg_memory_reserved,aggregate,Year,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Day-cd,Cloud,configuration,cloud_avg_memory_reserved,timeseries,Day,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Day-cs,Cloud,configuration,cloud_avg_memory_reserved,timeseries,Day,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Day-pi,Cloud,configuration,cloud_avg_memory_reserved,timeseries,Day,0.001%,0.001%,0.0017%,0.0017%
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Day-public,Cloud,configuration,cloud_avg_memory_reserved,timeseries,Day,0.001%,0.001%,0.0016%,0.0016%
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Day-usr,Cloud,configuration,cloud_avg_memory_reserved,timeseries,Day,0.001%,0.001%,0.0017%,0.0017%
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Month-cd,Cloud,configuration,cloud_avg_memory_reserved,timeseries,Month,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Month-cs,Cloud,configuration,cloud_avg_memory_reserved,timeseries,Month,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Month-pi,Cloud,configuration,cloud_avg_memory_reserved,timeseries,Month,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Month-public,Cloud,configuration,cloud_avg_memory_reserved,timeseries,Month,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Month-usr,Cloud,configuration,cloud_avg_memory_reserved,timeseries,Month,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Quarter-cd,Cloud,configuration,cloud_avg_memory_reserved,timeseries,Quarter,0.0009%,0.0009%,0.0014%,0.0015%
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Quarter-cs,Cloud,configuration,cloud_avg_memory_reserved,timeseries,Quarter,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Quarter-pi,Cloud,configuration,cloud_avg_memory_reserved,timeseries,Quarter,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Quarter-public,Cloud,configuration,cloud_avg_memory_reserved,timeseries,Quarter,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Quarter-usr,Cloud,configuration,cloud_avg_memory_reserved,timeseries,Quarter,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Year-cd,Cloud,configuration,cloud_avg_memory_reserved,timeseries,Year,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Year-cs,Cloud,configuration,cloud_avg_memory_reserved,timeseries,Year,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Year-pi,Cloud,configuration,cloud_avg_memory_reserved,timeseries,Year,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Year-public,Cloud,configuration,cloud_avg_memory_reserved,timeseries,Year,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_memory_reserved/timeseries-Year-usr,Cloud,configuration,cloud_avg_memory_reserved,timeseries,Year,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Day-cd,Cloud,configuration,cloud_avg_rv_storage_reserved,aggregate,Day,0.0008%,0.0008%,0.0012%,0.0012%
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Day-cs,Cloud,configuration,cloud_avg_rv_storage_reserved,aggregate,Day,0.0007%,0.0007%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Day-pi,Cloud,configuration,cloud_avg_rv_storage_reserved,aggregate,Day,0.0009%,0.0009%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Day-public,Cloud,configuration,cloud_avg_rv_storage_reserved,aggregate,Day,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Day-usr,Cloud,configuration,cloud_avg_rv_storage_reserved,aggregate,Day,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Month-cd,Cloud,configuration,cloud_avg_rv_storage_reserved,aggregate,Month,0.0007%,0.0007%,0.0012%,0.0012%
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Month-cs,Cloud,configuration,cloud_avg_rv_storage_reserved,aggregate,Month,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Month-pi,Cloud,configuration,cloud_avg_rv_storage_reserved,aggregate,Month,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Month-public,Cloud,configuration,cloud_avg_rv_storage_reserved,aggregate,Month,0.0007%,0.0007%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Month-usr,Cloud,configuration,cloud_avg_rv_storage_reserved,aggregate,Month,0.0007%,0.0007%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Quarter-cd,Cloud,configuration,cloud_avg_rv_storage_reserved,aggregate,Quarter,0.0007%,0.0007%,0.0012%,0.0012%
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Quarter-cs,Cloud,configuration,cloud_avg_rv_storage_reserved,aggregate,Quarter,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Quarter-pi,Cloud,configuration,cloud_avg_rv_storage_reserved,aggregate,Quarter,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Quarter-public,Cloud,configuration,cloud_avg_rv_storage_reserved,aggregate,Quarter,0.0007%,0.0007%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Quarter-usr,Cloud,configuration,cloud_avg_rv_storage_reserved,aggregate,Quarter,0.0007%,0.0007%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Year-cd,Cloud,configuration,cloud_avg_rv_storage_reserved,aggregate,Year,0.0007%,0.0007%,0.0012%,0.0012%
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Year-cs,Cloud,configuration,cloud_avg_rv_storage_reserved,aggregate,Year,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Year-pi,Cloud,configuration,cloud_avg_rv_storage_reserved,aggregate,Year,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Year-public,Cloud,configuration,cloud_avg_rv_storage_reserved,aggregate,Year,0.0007%,0.0007%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_rv_storage_reserved/aggregate-Year-usr,Cloud,configuration,cloud_avg_rv_storage_reserved,aggregate,Year,0.0007%,0.0007%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Day-cd,Cloud,configuration,cloud_avg_rv_storage_reserved,timeseries,Day,0.0009%,0.0009%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Day-cs,Cloud,configuration,cloud_avg_rv_storage_reserved,timeseries,Day,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Day-pi,Cloud,configuration,cloud_avg_rv_storage_reserved,timeseries,Day,0.001%,0.001%,0.0017%,0.0017%
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Day-public,Cloud,configuration,cloud_avg_rv_storage_reserved,timeseries,Day,0.001%,0.001%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Day-usr,Cloud,configuration,cloud_avg_rv_storage_reserved,timeseries,Day,0.001%,0.001%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Month-cd,Cloud,configuration,cloud_avg_rv_storage_reserved,timeseries,Month,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Month-cs,Cloud,configuration,cloud_avg_rv_storage_reserved,timeseries,Month,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Month-pi,Cloud,configuration,cloud_avg_rv_storage_reserved,timeseries,Month,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Month-public,Cloud,configuration,cloud_avg_rv_storage_reserved,timeseries,Month,0.0008%,0.0009%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Month-usr,Cloud,configuration,cloud_avg_rv_storage_reserved,timeseries,Month,0.0009%,0.0009%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Quarter-cd,Cloud,configuration,cloud_avg_rv_storage_reserved,timeseries,Quarter,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Quarter-cs,Cloud,configuration,cloud_avg_rv_storage_reserved,timeseries,Quarter,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Quarter-pi,Cloud,configuration,cloud_avg_rv_storage_reserved,timeseries,Quarter,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Quarter-public,Cloud,configuration,cloud_avg_rv_storage_reserved,timeseries,Quarter,0.0009%,0.0009%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Quarter-usr,Cloud,configuration,cloud_avg_rv_storage_reserved,timeseries,Quarter,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Year-cd,Cloud,configuration,cloud_avg_rv_storage_reserved,timeseries,Year,0.0009%,0.0009%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Year-cs,Cloud,configuration,cloud_avg_rv_storage_reserved,timeseries,Year,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Year-pi,Cloud,configuration,cloud_avg_rv_storage_reserved,timeseries,Year,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Year-public,Cloud,configuration,cloud_avg_rv_storage_reserved,timeseries,Year,0.0009%,0.0009%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_rv_storage_reserved/timeseries-Year-usr,Cloud,configuration,cloud_avg_rv_storage_reserved,timeseries,Year,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Day-cd,Cloud,configuration,cloud_avg_wallduration_hours,aggregate,Day,0.0008%,0.0008%,0.0012%,0.0012%
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Day-cs,Cloud,configuration,cloud_avg_wallduration_hours,aggregate,Day,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Day-pi,Cloud,configuration,cloud_avg_wallduration_hours,aggregate,Day,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Day-public,Cloud,configuration,cloud_avg_wallduration_hours,aggregate,Day,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Day-usr,Cloud,configuration,cloud_avg_wallduration_hours,aggregate,Day,0.0009%,0.0009%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Month-cd,Cloud,configuration,cloud_avg_wallduration_hours,aggregate,Month,0.0008%,0.0008%,0.0012%,0.0012%
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Month-cs,Cloud,configuration,cloud_avg_wallduration_hours,aggregate,Month,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Month-pi,Cloud,configuration,cloud_avg_wallduration_hours,aggregate,Month,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Month-public,Cloud,configuration,cloud_avg_wallduration_hours,aggregate,Month,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Month-usr,Cloud,configuration,cloud_avg_wallduration_hours,aggregate,Month,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Quarter-cd,Cloud,configuration,cloud_avg_wallduration_hours,aggregate,Quarter,0.0008%,0.0008%,0.0012%,0.0012%
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Quarter-cs,Cloud,configuration,cloud_avg_wallduration_hours,aggregate,Quarter,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Quarter-pi,Cloud,configuration,cloud_avg_wallduration_hours,aggregate,Quarter,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Quarter-public,Cloud,configuration,cloud_avg_wallduration_hours,aggregate,Quarter,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Quarter-usr,Cloud,configuration,cloud_avg_wallduration_hours,aggregate,Quarter,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Year-cd,Cloud,configuration,cloud_avg_wallduration_hours,aggregate,Year,0.0007%,0.0007%,0.0012%,0.0012%
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Year-cs,Cloud,configuration,cloud_avg_wallduration_hours,aggregate,Year,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Year-pi,Cloud,configuration,cloud_avg_wallduration_hours,aggregate,Year,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Year-public,Cloud,configuration,cloud_avg_wallduration_hours,aggregate,Year,0.0007%,0.0007%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_wallduration_hours/aggregate-Year-usr,Cloud,configuration,cloud_avg_wallduration_hours,aggregate,Year,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Day-cd,Cloud,configuration,cloud_avg_wallduration_hours,timeseries,Day,0.0009%,0.0009%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Day-cs,Cloud,configuration,cloud_avg_wallduration_hours,timeseries,Day,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Day-pi,Cloud,configuration,cloud_avg_wallduration_hours,timeseries,Day,0.0009%,0.0009%,0.0016%,0.0016%
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Day-public,Cloud,configuration,cloud_avg_wallduration_hours,timeseries,Day,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Day-usr,Cloud,configuration,cloud_avg_wallduration_hours,timeseries,Day,0.001%,0.001%,0.0016%,0.0016%
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Month-cd,Cloud,configuration,cloud_avg_wallduration_hours,timeseries,Month,0.0008%,0.0008%,0.0013%,0.0013%
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Month-cs,Cloud,configuration,cloud_avg_wallduration_hours,timeseries,Month,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Month-pi,Cloud,configuration,cloud_avg_wallduration_hours,timeseries,Month,0.0008%,0.0008%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Month-public,Cloud,configuration,cloud_avg_wallduration_hours,timeseries,Month,0.0008%,0.0008%,0.0014%,0.0014%
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Month-usr,Cloud,configuration,cloud_avg_wallduration_hours,timeseries,Month,0.0009%,0.0009%,0.0015%,0.0015%
Cloud/configuration/cloud_avg_wallduration_hours/timeseries-Quarter-cd,Cloud,configuration,cloud_avg_wallduration_hours,timeseries,Quarter,0.0008%,0.0008%,0.0014%,0.0014%
